Name,Profile,Tier,Gold,Silver,Bronze,Points
Nanashi,https://www.kaggle.com/jesucristo,expert,0,11,6,45777
tarobxl,https://www.kaggle.com/tarobxl,grandmaster,6,12,10,45414
Pavel Ostyakov,https://www.kaggle.com/pavelost,grandmaster,8,2,2,45048
Jiwei Liu,https://www.kaggle.com/jiweiliu,grandmaster,16,28,11,44439
James Davis,https://www.kaggle.com/lorentztrans,expert,1,1,0,44255
Adel Valiullin,https://www.kaggle.com/mystery,expert,0,9,16,44064
Luca Massaron,https://www.kaggle.com/lucamassaron,master,4,33,42,44022
Alvor,https://www.kaggle.com/allvor,master,3,10,4,43940
Ilu,https://www.kaggle.com/ilu000,master,3,4,2,43896
ouyangxuan,https://www.kaggle.com/oyxuan,master,3,5,0,43594
Light,https://www.kaggle.com/berserker408,master,4,10,4,43409
Kyle Lee,https://www.kaggle.com/kylelee,grandmaster,8,10,3,43395
raddar,https://www.kaggle.com/raddar,grandmaster,11,15,7,43219
Arthur Llau,https://www.kaggle.com/arthurllau,master,2,13,17,42991
Tom57,https://www.kaggle.com/thomastilli,master,3,9,9,42677
phalanx,https://www.kaggle.com/phalanx,master,4,5,0,42464
TerenceLiu,https://www.kaggle.com/terenceliu4444,grandmaster,6,9,3,42214
Atanas Atanasov,https://www.kaggle.com/atanasova,master,2,23,9,42018
ValeriyBabushkin,https://www.kaggle.com/venheads,grandmaster,6,21,4,41381
Sergey Bryansky,https://www.kaggle.com/sggpls,master,4,7,4,41321
Kha Vo,https://www.kaggle.com/khahuras,master,5,6,0,40840
Isamu Yamashita,https://www.kaggle.com/yamsam,master,1,4,1,40808
toshi_k,https://www.kaggle.com/toshik,master,4,18,5,40466
Gary,https://www.kaggle.com/garybios,grandmaster,6,6,0,40003
DavidGbodiOdaibo,https://www.kaggle.com/godaibo,grandmaster,5,13,10,39947
Vicens Gaitan,https://www.kaggle.com/vicensgaitan,master,4,22,9,39924
Ian Pan,https://www.kaggle.com/vaillant,master,3,4,0,39443
Rob Mulla,https://www.kaggle.com/robikscube,master,2,7,7,38803
Evgeny Patekha,https://www.kaggle.com/johnpateha,grandmaster,9,5,1,38800
Andrey Kiryasov,https://www.kaggle.com/ekydna,grandmaster,5,10,1,38729
Victor Durnov,https://www.kaggle.com/victorsd,grandmaster,5,8,3,38702
shimacos,https://www.kaggle.com/shimacos,master,2,3,4,38292
Dmitry Kozlov,https://www.kaggle.com/dkozlov,expert,0,7,9,38275
Dmytro Poplavskiy,https://www.kaggle.com/dmytropoplavskiy,grandmaster,9,1,0,38213
Azat Davletshin,https://www.kaggle.com/davletag,master,3,2,2,37898
Yiheng (Venn),https://www.kaggle.com/yiheng,master,5,10,2,37890
Nat Bel ML Fun,https://www.kaggle.com/natbel4ml,expert,0,10,16,37874
Khoi Nguyen,https://www.kaggle.com/suicaokhoailang,master,4,3,2,37744
fakeplastictrees,https://www.kaggle.com/fakeplastictrees,grandmaster,8,12,2,37682
Little Boat,https://www.kaggle.com/xiaozhouwang,grandmaster,18,19,6,37662
mark4h,https://www.kaggle.com/mark4h,master,2,3,1,37649
yabea,https://www.kaggle.com/yukia18,master,2,3,0,37637
Marek Nurzynski,https://www.kaggle.com/marek3000,expert,0,2,14,37633
Max Jeblick,https://www.kaggle.com/maxjeblick,master,3,3,2,37632
Sergei Fironov,https://www.kaggle.com/sergeifironov,grandmaster,8,2,5,37623
YouHan Lee,https://www.kaggle.com/youhanlee,master,4,8,8,37562
hmdhmd,https://www.kaggle.com/hmdhmd,master,3,7,1,37261
Mickey,https://www.kaggle.com/symyksr,master,3,19,11,37183
heartkilla,https://www.kaggle.com/aruchomu,expert,1,1,2,37111
lingyundev,https://www.kaggle.com/lingyundev,master,6,1,0,36874
Nick Mamonov,https://www.kaggle.com/nickmamonov,expert,1,1,0,36806
Liao,https://www.kaggle.com/alexanderliao,master,5,9,4,36672
Ruslan Baikulov,https://www.kaggle.com/romul0212,grandmaster,5,3,0,36508
Cl_ev,https://www.kaggle.com/cl2ev1,expert,2,0,1,36398
nosound,https://www.kaggle.com/zaharch,master,4,3,2,36143
monty ponty,https://www.kaggle.com/dmitriyab,master,2,3,0,36124
Chahhou Mohamed,https://www.kaggle.com/mchahhou,grandmaster,7,9,2,36005
Cola,https://www.kaggle.com/kelexu,grandmaster,9,18,8,35989
senkin13,https://www.kaggle.com/senkin13,grandmaster,6,4,3,35903
scumed,https://www.kaggle.com/scusywxy,master,3,0,1,35685
Nooh,https://www.kaggle.com/nuhsikander,expert,0,7,13,35502
Jack (Japan),https://www.kaggle.com/rsakata,grandmaster,5,11,5,35409
Jan Bre,https://www.kaggle.com/jpbremer,master,2,3,3,35330
Renjie Qian,https://www.kaggle.com/rjqian,expert,1,1,0,34935
lyakaap,https://www.kaggle.com/lyakaap,grandmaster,5,3,3,34851
Patrick Yam,https://www.kaggle.com/wimwim,master,1,3,1,34643
Kishore M,https://www.kaggle.com/reachkishore,expert,0,3,12,34501
anokas,https://www.kaggle.com/anokas,grandmaster,9,9,5,34323
Ceshine Lee,https://www.kaggle.com/ceshine,master,1,17,12,34110
Nikolay Prokoptsev,https://www.kaggle.com/nprokoptsev,master,2,3,2,33969
neongen,https://www.kaggle.com/neongen,master,2,15,12,33896
kojimar,https://www.kaggle.com/kojimar,expert,0,4,6,33851
Helgi,https://www.kaggle.com/helgith,master,1,8,7,33800
YaGana Sheriff-Hussaini,https://www.kaggle.com/sheriytm,expert,0,15,14,33737
toxu,https://www.kaggle.com/tonyxu,master,3,1,0,33495
daishu,https://www.kaggle.com/daishu,grandmaster,6,3,1,33479
Konstantin Yakovlev,https://www.kaggle.com/kyakovlev,master,1,4,1,33466
Costas Voglis,https://www.kaggle.com/voglinio,master,3,16,7,33069
spongebob,https://www.kaggle.com/baomengjiao,grandmaster,6,10,1,32601
James Trotman,https://www.kaggle.com/jtrotman,master,2,30,12,32388
Konstantin Nikolaev,https://www.kaggle.com/kostoglot,master,2,5,0,32373
Yury Kashnitsky,https://www.kaggle.com/kashnitsky,master,1,5,2,32333
hiromu,https://www.kaggle.com/hiromoon166,master,2,2,1,32262
Meng Di,https://www.kaggle.com/hughshaoqz,master,4,5,1,31998
