Name,Profile,Tier,Gold,Silver,Bronze,Points
Kyubyong Park,https://www.kaggle.com/bryanpark,expert,0,1,4,35
Deepak Deepu,https://www.kaggle.com/deepakdeepu8978,expert,0,0,3,35
Vitaliy Malcev,https://www.kaggle.com/vitaliymalcev,expert,0,0,5,35
Vlad Golubev,https://www.kaggle.com/golubev,expert,0,0,5,34
Aman Kumar,https://www.kaggle.com/aestheteaman01,expert,0,0,4,34
Shangqiu Li,https://www.kaggle.com/unkownhihi,expert,0,1,3,34
David Robinson,https://www.kaggle.com/drobinson,expert,0,4,1,33
Fellipe Gomes,https://www.kaggle.com/gomes555,expert,0,0,4,33
ratan rohith,https://www.kaggle.com/ratan123,expert,0,0,4,33
Adnan Zaidi,https://www.kaggle.com/adnanzaidi,expert,0,0,3,33
DataTurks,https://www.kaggle.com/dataturks,expert,0,1,2,33
Alin Cijov,https://www.kaggle.com/alincijov,expert,0,0,3,33
BryanB,https://www.kaggle.com/bryanb,expert,0,0,5,32
podsyp,https://www.kaggle.com/podsyp,expert,0,0,5,32
Carlo Lepelaars,https://www.kaggle.com/carlolepelaars,expert,0,0,4,31
Bavalpreet,https://www.kaggle.com/bavalpreet26,expert,0,0,4,31
Dan Ofer,https://www.kaggle.com/danofer,expert,0,1,3,30
Omri Goldstein,https://www.kaggle.com/drgilermo,expert,0,1,2,30
Loulou,https://www.kaggle.com/louise2001,expert,0,0,4,30
Gabriel Preda,https://www.kaggle.com/gpreda,expert,0,0,3,29
Shane Smith,https://www.kaggle.com/smid80,expert,0,1,2,29
Shishir Singh,https://www.kaggle.com/shishir349,expert,0,0,3,29
Chanran Kim,https://www.kaggle.com/seriousran,expert,0,0,3,28
Evgeny_Semyonov,https://www.kaggle.com/lightforever,expert,0,0,3,27
wayward_artisan,https://www.kaggle.com/taniaj,expert,0,1,2,27
Liling Tan,https://www.kaggle.com/alvations,expert,0,0,6,26
Pranav Hari,https://www.kaggle.com/phiitm,expert,0,0,4,26
voru588,https://www.kaggle.com/alenavorushilova,expert,0,0,3,26
Ravi Chaubey,https://www.kaggle.com/ravichaubey1506,expert,0,0,3,26
Ishan Dutta,https://www.kaggle.com/ishandutta,expert,0,0,3,26
Alexander Antonov,https://www.kaggle.com/trolukovich,expert,0,0,3,25
Pulkit Mehta,https://www.kaggle.com/pulkitmehtawork1985,expert,0,0,3,25
Yassine Hamdaoui,https://www.kaggle.com/yassinehamdaoui1,expert,0,0,3,25
Jeremy Howard,https://www.kaggle.com/jhoward,expert,0,0,4,24
prasoon kottarathil,https://www.kaggle.com/prasoonkottarathil,expert,0,0,5,24
Abhinand,https://www.kaggle.com/abhinand05,expert,0,0,4,24
Carl McBride Ellis,https://www.kaggle.com/carlmcbrideellis,expert,0,0,3,24
JackyWang,https://www.kaggle.com/jackywang529,expert,0,0,3,23
Tarek Hamdi,https://www.kaggle.com/hamditarek,expert,0,0,4,23
Konrad Banachewicz,https://www.kaggle.com/konradb,expert,0,0,4,22
Abed Khooli,https://www.kaggle.com/abedkhooli,expert,0,0,3,22
Ouassim Adnane,https://www.kaggle.com/ishivinal,expert,0,0,3,22
SkyLord,https://www.kaggle.com/skylord,expert,0,0,3,21
Jean-Michel D.,https://www.kaggle.com/jeanmidev,expert,0,1,2,21
LiamLarsen,https://www.kaggle.com/kingburrito666,expert,0,1,5,21
Mehmet Sungur,https://www.kaggle.com/medyasun,expert,0,0,3,21
Amaan,https://www.kaggle.com/rainmaker29,expert,0,0,4,21
Md Mahmud Ferdous,https://www.kaggle.com/mdmahmudferdous,expert,0,0,3,21
CPMP,https://www.kaggle.com/cpmpml,expert,0,0,3,19
Ritesh Yadav,https://www.kaggle.com/ritesh2000,expert,0,0,3,19
Animesh Nareda,https://www.kaggle.com/animeshnareda,expert,0,0,3,19
Rob Harrand,https://www.kaggle.com/tentotheminus9,expert,0,1,4,18
Noah Weber,https://www.kaggle.com/zikazika,expert,0,0,3,18
Alberto Falletta,https://www.kaggle.com/albeffe,expert,0,0,4,18
Andy II,https://www.kaggle.com/koki25ando,expert,0,0,3,17
Sugandh,https://www.kaggle.com/sugandhkhobragade,expert,0,0,3,17
Furagsu,https://www.kaggle.com/efradgamer,expert,0,0,3,17
Ashadullah Shawon,https://www.kaggle.com/shawon10,expert,0,0,3,16
Debadri Dutta,https://www.kaggle.com/duttadebadri,expert,0,0,3,16
Jonathan Besomi,https://www.kaggle.com/jonathanbesomi,expert,0,0,3,16
Prageeth Anjula,https://www.kaggle.com/praanj,expert,0,0,3,16
