Name,Profile,Tier,Gold,Silver,Bronze,Points
alijs,https://www.kaggle.com/alijs1,expert,1,3,5,138
Dan Ofer,https://www.kaggle.com/danofer,expert,0,3,18,137
Bongo,https://www.kaggle.com/sbongo,expert,2,0,4,137
Zac Dannelly,https://www.kaggle.com/dannellyz,expert,0,3,5,135
Kunaal Naik,https://www.kaggle.com/funxexcel,expert,0,1,8,134
Alexandre Sauvé,https://www.kaggle.com/asauve,expert,3,0,2,134
daisukelab,https://www.kaggle.com/daisukelab,expert,2,1,5,133
Samrat Pandiri,https://www.kaggle.com/samratp,master,1,10,7,132
hukuda222,https://www.kaggle.com/hukuda222,expert,2,0,3,132
Kostya Atarik,https://www.kaggle.com/kostyaatarik,expert,4,1,4,132
Psi,https://www.kaggle.com/philippsinger,expert,0,3,8,131
Rob Harrand,https://www.kaggle.com/tentotheminus9,expert,1,0,19,131
DavidS,https://www.kaggle.com/davids1992,expert,1,3,2,131
Kurian Benoy,https://www.kaggle.com/kurianbenoy,expert,0,2,9,131
Yih-Dar SHIEH,https://www.kaggle.com/yihdarshieh,expert,0,3,6,131
Vaishvik,https://www.kaggle.com/vaishvik25,expert,0,4,9,131
Navin Mundhra,https://www.kaggle.com/navinmundhra,expert,0,3,5,131
Niraj,https://www.kaggle.com/nirajpoudel,expert,0,1,8,131
deja vu,https://www.kaggle.com/dejavu23,expert,3,2,4,130
Saurav Anand,https://www.kaggle.com/saurav9786,expert,0,2,7,130
Gilles Vandewiele,https://www.kaggle.com/group16,expert,0,3,7,129
Leigh,https://www.kaggle.com/leighplt,expert,1,7,9,129
Golden,https://www.kaggle.com/goldens,expert,1,1,8,128
Kassem,https://www.kaggle.com/elcaiseri,expert,0,5,7,128
Chintan Chitroda,https://www.kaggle.com/chintanchitroda,expert,0,5,4,128
Marsh,https://www.kaggle.com/vbookshelf,expert,1,1,13,127
Atul Anand,https://www.kaggle.com/atulanandjha,expert,0,3,6,127
Paul Dnt,https://www.kaggle.com/pednt9,expert,1,2,5,127
Solve for Fun,https://www.kaggle.com/anshumoudgil,expert,0,2,10,126
Yirun Zhang,https://www.kaggle.com/gogo827jz,expert,2,2,3,126
toshi_k,https://www.kaggle.com/toshik,expert,2,1,5,125
Pavel Prokhorov,https://www.kaggle.com/pavelvpster,expert,0,5,7,125
Tolga Kaplan,https://www.kaggle.com/darkside92,expert,0,5,1,125
Shuhao Cao,https://www.kaggle.com/scaomath,expert,3,3,2,125
Khanh Vu Duy,https://www.kaggle.com/duykhanh99,expert,2,1,5,124
Niharika Pandit,https://www.kaggle.com/niharika41298,expert,0,1,6,124
NQ,https://www.kaggle.com/david1013,expert,1,0,7,123
Juanma Hernández,https://www.kaggle.com/juanmah,expert,0,3,9,122
Sugandh,https://www.kaggle.com/sugandhkhobragade,expert,0,1,9,122
Aman Kumar,https://www.kaggle.com/aestheteaman01,expert,0,1,10,122
MPWARE,https://www.kaggle.com/mpware,expert,1,4,3,121
Fred Navruzov,https://www.kaggle.com/frednavruzov,expert,3,5,4,121
Miguel Pinto,https://www.kaggle.com/mnpinto,expert,2,1,3,121
Misha Lisovyi,https://www.kaggle.com/mlisovyi,expert,2,2,11,121
David Tang,https://www.kaggle.com/dcstang,expert,2,0,5,121
Ashadullah Shawon,https://www.kaggle.com/shawon10,expert,0,3,8,120
Sanjaya,https://www.kaggle.com/sanjayar,expert,0,4,3,120
Chirag Samal,https://www.kaggle.com/chirag9073,expert,0,4,4,120
B H,https://www.kaggle.com/zero92,expert,2,2,3,119
Raman,https://www.kaggle.com/samusram,expert,1,2,3,118
OsciiArt,https://www.kaggle.com/osciiart,expert,1,4,5,118
Hanjoon Choe,https://www.kaggle.com/hanjoonchoe,expert,0,2,10,118
Ceshine Lee,https://www.kaggle.com/ceshine,expert,1,5,9,117
Faraz Rahman,https://www.kaggle.com/farazrahman,expert,1,7,13,117
Hitesh palamada,https://www.kaggle.com/hiteshp,expert,1,3,11,117
Julián Peller (dataista),https://www.kaggle.com/julian3833,expert,2,1,5,117
Chittal Patel,https://www.kaggle.com/chittalpatel,expert,0,4,1,117
blacksix,https://www.kaggle.com/blacksix,expert,3,1,2,116
Wojtek Rosa,https://www.kaggle.com/wrrosa,expert,1,1,6,116
Rupa Lahiri,https://www.kaggle.com/rblcoder,expert,1,2,8,115
pranshu,https://www.kaggle.com/pranshu29,expert,0,4,2,115
datasaurus,https://www.kaggle.com/anjum48,expert,1,3,2,114
rohan,https://www.kaggle.com/rohandx1996,expert,0,5,6,113
Grecnik,https://www.kaggle.com/nikitagrec,expert,0,3,13,113
Jeff Delaney,https://www.kaggle.com/jeffd23,expert,4,2,3,112
Aashita Kesarwani,https://www.kaggle.com/aashita,expert,3,1,3,112
Rajesh Vikraman,https://www.kaggle.com/rajeshcv,expert,2,2,4,112
KraLMachine,https://www.kaggle.com/kralmachine,expert,1,2,7,111
Pratik Mukherjee,https://www.kaggle.com/pratik1120,expert,0,0,14,111
nlgn,https://www.kaggle.com/kingychiu,expert,1,5,1,110
Avnika_Shah,https://www.kaggle.com/avnika22,expert,0,4,2,110
Chris Crawford,https://www.kaggle.com/crawford,expert,0,7,14,109
Prageeth Anjula,https://www.kaggle.com/praanj,expert,0,2,5,109
Matt Yates,https://www.kaggle.com/yeayates21,expert,0,3,4,108
Oscar Takeshita,https://www.kaggle.com/pliptor,expert,2,0,7,108
Maxwell,https://www.kaggle.com/maxwell110,expert,2,2,4,107
def me(x),https://www.kaggle.com/ruslankl,expert,1,7,5,107
Charel van Hoof,https://www.kaggle.com/charel,expert,0,3,6,107
Md. Redwan Karim Sony,https://www.kaggle.com/redwankarimsony,expert,0,1,7,107
DSangeetha,https://www.kaggle.com/devisangeetha,expert,0,8,29,106
Eric Bouteillon,https://www.kaggle.com/ebouteillon,expert,1,3,1,106
Miha Skalic,https://www.kaggle.com/mihaskalic,expert,1,6,2,105
Ken Miller,https://www.kaggle.com/mlconsult,expert,0,1,6,105
Harun-Ur-Rashid,https://www.kaggle.com/harunshimanto,expert,0,6,11,105
Ilu,https://www.kaggle.com/ilu000,expert,1,2,5,105
Janvi Chokshi,https://www.kaggle.com/janvichokshi,expert,0,1,5,105
Darshan Jain,https://www.kaggle.com/darshanjain29,expert,0,3,4,105
Wesam Elshamy,https://www.kaggle.com/wesamelshamy,expert,2,3,4,104
Leonie,https://www.kaggle.com/iamleonie,expert,0,3,4,104
Paras Varshney,https://www.kaggle.com/blurredmachine,expert,0,0,9,104
Jiazhen Xi,https://www.kaggle.com/johnfarrell,expert,2,2,10,103
Nicholas,https://www.kaggle.com/nicholasgah,expert,0,5,1,103
Raghawendra Singh,https://www.kaggle.com/raghaw,expert,0,3,6,103
vignesh,https://www.kaggle.com/vicky1999,expert,0,0,11,103
GreatGameDota,https://www.kaggle.com/greatgamedota,expert,1,1,3,103
kenmatsu4,https://www.kaggle.com/kenmatsu4,expert,0,2,11,102
SK,https://www.kaggle.com/seshadrikolluri,expert,2,0,6,102
Mithrillion,https://www.kaggle.com/mithrillion,expert,3,2,6,101
Nilan,https://www.kaggle.com/nilanml,expert,0,6,4,101
Bhavika,https://www.kaggle.com/bhavikapanara,expert,1,1,6,101
Marie,https://www.kaggle.com/mariapushkareva,expert,0,1,6,101
sayak,https://www.kaggle.com/sayakdasgupta,expert,0,3,3,101
Olga Belitskaya,https://www.kaggle.com/olgabelitskaya,expert,0,1,15,100
bsivavenu,https://www.kaggle.com/bsivavenu,expert,1,2,5,100
Nandhu Elango,https://www.kaggle.com/nandhuelan,expert,0,1,9,100
Shay Guterman,https://www.kaggle.com/shaygu,expert,1,1,6,100
Billy Nguyen,https://www.kaggle.com/billynguyen,expert,0,2,8,100
Bunty,https://www.kaggle.com/subbhashit,expert,0,1,10,100
Abdül MERAL,https://www.kaggle.com/abdulmeral,expert,0,0,11,100
Daner Ferhadi,https://www.kaggle.com/dferhadi,expert,0,2,4,99
Amit Hasan Shuvo,https://www.kaggle.com/amithasanshuvo,expert,0,0,10,99
AKuni,https://www.kaggle.com/marutama,expert,1,1,3,98
Abdellatif Ouboussekssou,https://www.kaggle.com/abdilatifssou,expert,0,3,2,98
Mr.Shadow,https://www.kaggle.com/chekoduadarsh,expert,0,1,8,97
Berkan Acar,https://www.kaggle.com/berkanacar,expert,0,2,5,97
Chris X,https://www.kaggle.com/docxian,expert,0,0,17,96
Ayushi Mishra,https://www.kaggle.com/ayushimishra2809,expert,0,1,7,96
30CrMnSiA,https://www.kaggle.com/h4211819,expert,1,3,2,95
Sanyam Bhutani,https://www.kaggle.com/init27,expert,1,2,8,95
Manoj Prabhakar,https://www.kaggle.com/manojprabhaakr,expert,1,1,6,94
ArjanGroen,https://www.kaggle.com/arjanso,expert,1,2,3,94
tolgahancepel,https://www.kaggle.com/tolgahancepel,expert,1,0,8,94
Hayato Iida,https://www.kaggle.com/iicyan,expert,0,2,3,94
Ruchi Bhatia,https://www.kaggle.com/ruchi798,expert,0,0,7,94
Shailaja Gupta,https://www.kaggle.com/shailaja4247,expert,0,2,4,94
qianqian,https://www.kaggle.com/qqgeogor,expert,2,3,2,93
Yash Choudhary,https://www.kaggle.com/yashchoudhary,expert,1,1,4,93
OMAR ELGABRY,https://www.kaggle.com/omarelgabry,expert,1,1,6,92
Fellipe Gomes,https://www.kaggle.com/gomes555,expert,0,0,8,92
Sanchit Vijay,https://www.kaggle.com/sanchitvj,expert,0,1,6,92
Xuan Cao,https://www.kaggle.com/naivelamb,expert,0,2,6,91
MichaelApers,https://www.kaggle.com/michaelapers,expert,2,1,2,91
FChmiel,https://www.kaggle.com/fchmiel,expert,1,3,2,91
PurpleCode_073,https://www.kaggle.com/shadey,expert,0,0,11,91
Luca Massaron,https://www.kaggle.com/lucamassaron,expert,1,1,4,90
Ranjeet Jain,https://www.kaggle.com/ranjeetjain3,expert,2,3,3,90
Karan Jakhar,https://www.kaggle.com/karanjakhar,expert,0,3,6,90
Lyalikov Artyom,https://www.kaggle.com/timon88,expert,2,1,2,89
BryanB,https://www.kaggle.com/bryanb,expert,0,0,10,89
Mohammad Reza Ghari,https://www.kaggle.com/rezaghari,expert,0,2,4,89
Lex Toumbourou,https://www.kaggle.com/lextoumbourou,expert,1,2,3,88
Mohsin hasan,https://www.kaggle.com/tezdhar,expert,1,2,5,88
Zach Mueller,https://www.kaggle.com/muellerzr,expert,0,2,5,88
lixiangyang,https://www.kaggle.com/anyexiezouqu,expert,0,2,3,88
Brian,https://www.kaggle.com/ldm314,expert,1,2,4,87
Kushal Bhavsar,https://www.kaggle.com/spidy20,expert,0,2,13,87
Salman Ibne Eunus,https://www.kaggle.com/salmaneunus,expert,0,0,6,87
Curtis Thompson,https://www.kaggle.com/cwthompson,expert,1,0,6,87
Vicens Gaitan,https://www.kaggle.com/vicensgaitan,expert,1,3,6,86
wakame,https://www.kaggle.com/wakamezake,expert,0,3,5,86
Gulsah Demiryurek,https://www.kaggle.com/gulsahdemiryurek,expert,0,1,11,86
nilim,https://www.kaggle.com/snanilim,expert,0,2,3,86
Nida Güler,https://www.kaggle.com/nidaguler,expert,0,1,6,86
Gokagglers,https://www.kaggle.com/loveall,expert,0,0,9,85
Niyamat Ullah,https://www.kaggle.com/niyamatalmass,expert,0,4,8,85
Parth Chokhra,https://www.kaggle.com/parthplc,expert,0,0,8,85
voru588,https://www.kaggle.com/alenavorushilova,expert,0,2,6,85
Kwabena,https://www.kaggle.com/kwabenantim,expert,1,1,3,84
Anton Enns,https://www.kaggle.com/tocha4,expert,1,2,5,84
Amrit Virdee,https://www.kaggle.com/avirdee,expert,0,2,3,84
Owen Ouyang,https://www.kaggle.com/couyang,expert,1,8,4,84
oskird,https://www.kaggle.com/sz8416,expert,2,2,1,84
Kha Vo,https://www.kaggle.com/khahuras,expert,0,7,0,84
Ann Antonova,https://www.kaggle.com/aantonova,expert,1,4,7,84
BuryBuryZymon,https://www.kaggle.com/maheshdadhich,expert,3,0,6,83
Georgios Sarantitis,https://www.kaggle.com/georsara1,expert,0,4,7,83
Shahebaz,https://www.kaggle.com/shaz13,expert,2,2,8,83
Syam kakarla,https://www.kaggle.com/syamkakarla,expert,0,0,7,83
Suneel Patel,https://www.kaggle.com/suneelpatel,expert,0,2,8,83
CVxTz,https://www.kaggle.com/CVxTz,expert,2,2,6,82
Michal Haltuf,https://www.kaggle.com/rejpalcz,expert,2,2,3,82
Ram Ramrakhya,https://www.kaggle.com/axel81,expert,0,2,12,82
Bac Nguyen,https://www.kaggle.com/backaggle,expert,0,3,2,82
shivan kumar,https://www.kaggle.com/shivan118,expert,0,0,8,82
Wellington Silva,https://www.kaggle.com/gatunnopvp,expert,0,2,4,82
Loulou,https://www.kaggle.com/louise2001,expert,0,1,6,82
Ruslan Talipov,https://www.kaggle.com/rooshroosh,expert,0,6,4,81
Costas Voglis,https://www.kaggle.com/voglinio,expert,2,2,6,81
Aicanghai_Smile,https://www.kaggle.com/xwxw2929,expert,1,1,5,81
Zhu Zhengye,https://www.kaggle.com/zzy990106,expert,0,2,4,81
Nishanth,https://www.kaggle.com/kdnishanth,expert,0,1,6,81
Shubham Singh,https://www.kaggle.com/shubhamksingh,expert,0,0,8,81
Digvijay Yadav,https://www.kaggle.com/digvijayyadav,expert,0,0,7,81
Rahul Agarwal,https://www.kaggle.com/mlwhiz,expert,1,0,9,80
James McGuigan,https://www.kaggle.com/jamesmcguigan,expert,0,1,6,80
Dromosys,https://www.kaggle.com/dromosys,expert,1,0,12,80
RDizzl3,https://www.kaggle.com/rdizzl3,expert,0,1,4,79
Pulkit Mehta,https://www.kaggle.com/pulkitmehtawork1985,expert,0,3,3,79
Kush Bhatnagar,https://www.kaggle.com/kushbhatnagar,expert,0,3,3,79
Ritesh Yadav,https://www.kaggle.com/ritesh2000,expert,0,0,5,78
Shishir Singh,https://www.kaggle.com/shishir349,expert,0,1,7,78
Ant 🐜,https://www.kaggle.com/superant,expert,1,0,5,77
GSD,https://www.kaggle.com/gsdeepakkumar,expert,0,4,17,77
Karolina Pacocha,https://www.kaggle.com/kpacocha,expert,1,1,3,77
PSVishnu,https://www.kaggle.com/psvishnu,expert,0,3,3,75
Tasnim Nishat Islam,https://www.kaggle.com/tasnimnishatislam,expert,0,0,7,75
Shivam Burnwal,https://www.kaggle.com/shivamburnwal,expert,0,0,6,75
Debadri Dutta,https://www.kaggle.com/duttadebadri,expert,0,4,8,74
marketneutral,https://www.kaggle.com/marketneutral,expert,1,3,2,74
Mehmet Sungur,https://www.kaggle.com/medyasun,expert,0,1,6,74
Ethan Schacht,https://www.kaggle.com/etsc9287,expert,0,1,8,74
Ilya Khristoforov,https://www.kaggle.com/darbin,expert,1,3,2,73
Manoj,https://www.kaggle.com/mks2192,expert,0,1,7,73
Jeff Hale,https://www.kaggle.com/discdiver,expert,0,4,2,73
Vaibhav Tiwari,https://www.kaggle.com/bunnyyy,expert,0,0,5,73
yasagure,https://www.kaggle.com/yasagure,expert,0,2,5,73
Xie29,https://www.kaggle.com/xiejialun,expert,0,1,6,73
Aayush Mishra,https://www.kaggle.com/aayushmishra1512,expert,0,1,4,73
Faron,https://www.kaggle.com/mmueller,expert,3,4,2,72
tito,https://www.kaggle.com/its7171,expert,2,1,4,72
JeruLuke,https://www.kaggle.com/jeru666,expert,1,2,10,72
Pranav Kasela,https://www.kaggle.com/pranavkasela,expert,0,0,10,72
Nitesh Chaudhry,https://www.kaggle.com/niteshx2,expert,0,2,3,72
Derya Tanyıldız,https://www.kaggle.com/tanyildizderya,expert,0,0,7,72
Melih Kanbay,https://www.kaggle.com/melihkanbay,expert,0,0,9,72
CHANDAN,https://www.kaggle.com/chandansinghnegi,expert,0,1,4,72
Naruhiko Nakanishi,https://www.kaggle.com/grapestone5321,expert,0,1,6,71
Burak Batıbay,https://www.kaggle.com/batibayburak,expert,0,0,11,71
nagadomi,https://www.kaggle.com/nagadomi,expert,1,2,3,70
V.Prasanna Kumar,https://www.kaggle.com/vpkprasanna,expert,0,0,5,70
