Name,Profile,Tier,Gold,Silver,Bronze,Points
SeuTao,https://www.kaggle.com/shentao,expert,12,11,30,304
fchollet,https://www.kaggle.com/fchollet,expert,18,17,75,302
Baba Firas,https://www.kaggle.com/rinnqd,expert,13,18,83,301
Aspie Girl,https://www.kaggle.com/usharengaraju,expert,12,12,100,295
Andy Harless,https://www.kaggle.com/aharless,master,25,57,506,293
voru588,https://www.kaggle.com/alenavorushilova,expert,5,11,104,292
See--,https://www.kaggle.com/seesee,expert,9,9,100,290
XingJian Lyu,https://www.kaggle.com/roguekk007,expert,10,10,84,290
Loulou,https://www.kaggle.com/louise2001,expert,6,3,90,286
Chun Ming Lee,https://www.kaggle.com/leecming,expert,8,7,49,284
MPWARE,https://www.kaggle.com/mpware,expert,11,19,124,283
Gary,https://www.kaggle.com/garybios,expert,10,11,106,283
timetraveller,https://www.kaggle.com/timetraveller98,expert,4,9,132,282
Liao,https://www.kaggle.com/alexanderliao,expert,10,24,155,280
Ian Pan,https://www.kaggle.com/vaillant,expert,9,17,50,279
Tim Yee,https://www.kaggle.com/teeyee314,expert,8,8,186,278
Ram Ramrakhya,https://www.kaggle.com/axel81,expert,6,11,127,276
Miroslav Valan,https://www.kaggle.com/valanm,expert,8,9,141,275
Tawara,https://www.kaggle.com/ttahara,expert,7,11,60,273
Sergei Fironov,https://www.kaggle.com/sergeifironov,expert,10,13,53,272
LongYin/杰少,https://www.kaggle.com/longyin2,expert,9,9,259,272
Hidehisa Arai,https://www.kaggle.com/hidehisaarai1213,expert,6,13,78,271
Eswar Chand,https://www.kaggle.com/eswarchandt,expert,2,3,250,267
Adrian Zinovei,https://www.kaggle.com/zinovadr,expert,5,5,190,264
Artyom Palvelev,https://www.kaggle.com/artyomp,expert,11,17,107,263
James Howard,https://www.kaggle.com/jamesphoward,expert,7,13,39,263
narsil,https://www.kaggle.com/narsil,expert,12,17,103,262
Roshan Sharma,https://www.kaggle.com/roshansharma,expert,1,23,256,261
Radek Osmulski,https://www.kaggle.com/radek1,expert,16,12,61,260
daishu,https://www.kaggle.com/daishu,expert,11,7,56,259
Stanislav Blinov,https://www.kaggle.com/stanislavblinov,expert,5,9,192,259
Bac Nguyen,https://www.kaggle.com/backaggle,expert,11,8,110,257
CHANDAN,https://www.kaggle.com/chandansinghnegi,expert,2,11,135,257
Richard Barrett-Jolley,https://www.kaggle.com/richardbj,expert,8,7,42,255
Mashlyn,https://www.kaggle.com/mashlyn,expert,3,4,232,254
predictor!,https://www.kaggle.com/seshurajup,expert,7,11,107,253
Tom Aindow,https://www.kaggle.com/taindow,expert,11,8,118,253
toshi_k,https://www.kaggle.com/toshik,expert,11,15,192,248
FChmiel,https://www.kaggle.com/fchmiel,expert,6,6,87,248
corochann,https://www.kaggle.com/corochann,expert,5,4,162,244
Tarun Paparaju,https://www.kaggle.com/tarunpaparaju,expert,9,10,156,244
G_R_S,https://www.kaggle.com/danoozy44,expert,3,3,168,244
Marco Gorelli,https://www.kaggle.com/marcogorelli,expert,1,6,138,243
Moshel,https://www.kaggle.com/moshel,expert,5,13,223,243
Pranav Anand,https://www.kaggle.com/pranavanand24,expert,2,6,76,243
Siraz Naorem,https://www.kaggle.com/siraznaorem,expert,1,7,151,243
Alin Cijov,https://www.kaggle.com/alincijov,expert,0,0,252,243
DmitryS,https://www.kaggle.com/simakov,expert,11,6,38,242
Fredrik Jonsson,https://www.kaggle.com/frjo0083,expert,9,10,148,241
Rohit Singh,https://www.kaggle.com/rohitsingh9990,expert,3,6,122,241
Benjamin Minixhofer,https://www.kaggle.com/bminixhofer,expert,6,16,92,238
Bo,https://www.kaggle.com/boliu0,expert,9,8,35,237
Madz2000,https://www.kaggle.com/madz2000,expert,0,0,255,233
Parul Pandey,https://www.kaggle.com/parulpandey,expert,2,20,123,232
PAB97,https://www.kaggle.com/rftexas,expert,3,11,83,227
David Tang,https://www.kaggle.com/dcstang,expert,6,4,193,226
Jie Wu,https://www.kaggle.com/lftuwujie,expert,9,10,125,225
Zenify,https://www.kaggle.com/debanga,expert,7,5,87,225
TJ Klein,https://www.kaggle.com/teejmahal20,expert,7,5,124,225
Max Jeblick,https://www.kaggle.com/maxjeblick,expert,6,10,35,223
Markus F,https://www.kaggle.com/friedchips,expert,9,4,47,223
Strideradu,https://www.kaggle.com/strideradu,expert,14,9,125,222
Brun,https://www.kaggle.com/brunhs,expert,4,9,219,222
ZFTurbo,https://www.kaggle.com/zfturbo,expert,23,26,146,221
Pranit Bhujel,https://www.kaggle.com/pranitbhujel,expert,1,4,161,221
Yirun Zhang,https://www.kaggle.com/gogo827jz,expert,6,9,161,220
Khanh Vu Duy,https://www.kaggle.com/duykhanh99,expert,2,5,133,217
Chris Miles,https://www.kaggle.com/chrisrichardmiles,expert,3,5,72,217
Nischay Dhankhar,https://www.kaggle.com/nischaydnk,expert,3,3,158,217
n01z3,https://www.kaggle.com/drn01z3,expert,23,7,48,216
nlgn,https://www.kaggle.com/kingychiu,expert,8,4,157,216
interneuron,https://www.kaggle.com/interneuron,expert,7,14,219,216
